缸盖,缸盖
后,
卫,
通天,
天线,
未,
工作,
静态,
联,
试,
时,
卫,
通天,
天线,
锁定,
发动,
发动机,
动机,
开车,
后,
卫,
通,
锁定,
空中,
中卫,
通,
下行,
失锁,
5min,
显示,
机载,
卫,
通天,
天线,
方位,
误差,
电压,
大,
增大,
机载,
功率,
后,
地面,
联,
试,
打开,
KU,
无线,
大功,
大功率,
功率,
时,
功率,
指标,
功率,
推到,
饱和,
输出,
地面,
地面站,
显示,
报,
指示,
指示灯,
灯不亮,
功放,
打开,
下行,
信号,
卫,
通,
功放,
打开,
开状,
状态,
下机,
机载,
天线,
接收,
帧,
和解,
解调,
解调器,
失锁,
卫,
通,
下行,
链路,
建立,
飞机,
机上,
电,
卫,
通,
链路,
无,
下行,
信号,
地面,
联,
试过,
过程,
中,
机载,
卫,
通,
功放,
工作,
风扇,
不,
转,
TX,
指示,
指示灯,
灯不亮,
地面,
联,
试,
时,
无上,
上行,
信号,
下行,
信号,
飞行,
行前,
功能,
检查,
时,
注入,
密钥,
密码,
通信,
半小时,
小时,
上行,
接收,
帧,
不,
锁定,
飞行,
过程,
中,
卫,
通上,
上行,
下行,
链路,
中断,
应答,
应答机,
敌我,
识别,
识别系统,
系统,
iff,
接收,
0,
%,
飞行,
行时,
航管,
部门,
发现,
飞机,
机上,
升高,
高度,
1900m,
后,
应答,
应答机,
始终,
报,
1900m,
飞机,
机上,
升高,
高度,
2700m,
时,
应答,
应答机,
依然,
报,
1900m,
卫,
通天,
天线,
车,
环,
载,
噪,
比过,
低,
导致,
下行,
链路,
失锁,
卫,
通天,
天线,
车,
环,
载,
噪,
比过,
低,
导致,
下行,
链路,
失锁,
调制,
调制解调器,
解调,
解调器,
工作,
车,
壁,
右后,
后上,
箱,
螺栓,
断裂,
ODU1,
时,
调制,
解调,
1,
卫,
通,
设备,
备车,
UPS,
供电,
UPS,
电池,
电,
UPS,
启动,
ALARM,
灯,
报警,
联,
试,
时,
光缆,
不通,
扩频,
调制,
调制器,
2,
载波,
低,
油机,
机电,
电瓶,
没电,
油机,
启动,
扩频,
调制,
调制器,
1,
按键,
失灵,
参数,
参数设置,
设置,
电源,
电源插头,
插头,
烧坏,
视频,
频数,
数字,
记录,
记录仪,
加,
电,
后,
自动,
重启,
硬盘,
灯,
显示,
红色,
自动,
重启,
两次,
后,
视频,
频数,
数字,
记录,
记录仪,
重启,
启动,
不,
控制,
A,
柜,
B,
柜,
发送,
指令,
控制,
B,
机柜,
网络,
经常出现,
未,
连接,
现象,
飞,
控,
A,
机柜,
柜上,
上行,
行不通,
不通,
控制,
B,
柜,
开机,
后,
网络,
时,
网络,
时,
断,
时,
连续,
不稳,
稳定,
联,
试,
中计,
计算,
计算机,
算机,
黑屏,
死机,
重启,
操作,
操作系统,
系统,
飞,
控,
图像,
显示,
单元,
显示,
显示图,
图像,
控制,
A,
柜,
电脑,
开机,
主视,
视距,
拖车,
馈源,
连接,
信号,
信号线,
接口,
拧下,
天线,
方位,
旋钮,
天线,
方位,
位数,
数值,
显示,
不,
连续,
停止,
时,
天线,
抖动,
切,
外,
控,
后,
链路,
监控,
席位,
看不到,
不到,
拖车,
信息,
视距,
拖车,
C,
全向,
全向天线,
天线,
定向,
定向天线,
天线,
切换,
天线,
升起,
时,
俯仰,
方向,
抖动,
天线,
俯仰,
控制,
GPS,
天线,
断裂,
收不到,
不到,
信号,
油机,
启动,
控,
机柜,
指令,
发送,
主,
遥控,
发,
频,
跟踪,
时,
锁,
时,
不,
锁,
主,
遥控,
闪烁,
规划,
电脑,
开机,
机时,
CMOS,
 ,
ERROR,
故障,
飞行,
行前,
检测,
中,
规划,
机柜,
计算,
计算机,
算机,
自动,
重启,
重启,
后,
操作,
操作系统,
系统,
飞行,
行前,
检测,
测时,
北斗,
用户,
机,
加,
电,
启动,
控制,
控制柜,
计算,
计算机,
计算机无法,
算机,
启动,
出气,
出气口,
气口,
口罩,
断裂,
UPS,
未能,
启动,
电池,
指示,
指示灯,
闪烁,
高频,
箱,
电源,
1,
分,
3,
插头,
跟踪,
接收,
接收机,
外露,
插头,
腐化,
高频,
箱,
电源,
1,
分,
3,
插头,
跟踪,
接收,
接收机,
外露,
插头,
腐化,
高频,
箱,
电源,
1,
分,
3,
插头,
跟踪,
接收,
接收机,
外露,
插头,
腐化,
高频,
箱,
电源,
1,
分,
3,
插头,
跟踪,
接收,
接收机,
外露,
插头,
腐化,
视距,
链路,
路下,
下行,
行时,
时有时无,
无,
UPS,
加,
电,
无,
遥测,
信号,
视频,
视频信号,
频信,
信号,
打开,
BZK,
5,
A,
软件,
选择,
显示,
飞机,
遥测,
测数据,
数据,
2,
地面,
地面站,
作,
模,
车,
联,
试,
中,
图像,
无,
遥测,
计算,
计算机,
算机,
启动,
第三,
第三路,
三路,
信号,
输入,
视频,
矩阵,
无,
显示,
作,
模,
车,
光缆,
通信,
故障,
1,
号,
地面,
地面站,
作,
模,
车,
接收,
遥测,
信号,
外,
控,
线,
信号,
不正,
语音,
通信,
故障,
主站,
接收,
外,
控,
语音,
外,
控,
接收,
主站,
语音,
UPS1,
机箱,
自燃,
UPS2,
机箱,
自燃,
视频,
处理软件,
软件,
图像,
采集,
时间,
长,
矫正,
软件,
彩色,
彩色图像,
图像,
校正,
情报,
情报处,
站,
视频,
2,
席位,
视频,
主机,
启动,
后,
死机,
键盘,
鼠标,
操作,
断电,
重启,
后,
恢复,
恢复正常,
油机,
排气,
排气管,
气管,
消音,
消音器,
脱开,
废气,
脱开,
处,
排出,
备用,
用电,
电池,
电压,
明显降低,
降低,
上,
电,
时,
电源,
电压,
压低,
低于,
低于正常,
正常值,
常值,
调节,
节电,
电压,
调节,
旋钮,
电压,
调,
不到,
正常值,
常值,
DGPS,
接收,
天线,
损坏,
接收,
差分,
分站,
接收,
接收机,
面板,
电缆,
断掉,
DGPS,
故障,
工作,
不稳,
稳定,
设备,
展开,
过程,
中,
天线,
俯仰,
后,
接上,
上手,
手提,
驱动,
箱,
后,
天线,
方位,
俯仰,
情报,
情报处,
站,
视频,
2,
席位,
视频,
主机,
启动,
后,
死机,
键盘,
鼠标,
操作,
断电,
重启,
后,
恢复,
恢复正常,
发动,
发动机,
动机,
安装,
装到,
到位,
后,
发动,
发动机,
发动机短,
动机,
短舱,
下,
罩,
安装,
孔,
对齐,
发动,
发动机,
发动机短,
动机,
短舱,
上,
罩,
连接,
短舱,
上,
罩,
组件,
下,
罩,
组件,
安装,
后,
后边,
边缘,
螺旋,
螺旋桨,
桨叶,
表面,
干涉,
发动,
发动机,
动机,
试车,
过程,
中,
滑,
油压,
压力,
波动,
超过,
值,
试车,
过程,
中,
B,
点火,
停止,
工作,
时,
转速,
下降,
发动,
发动机,
动机,
机状态,
状态,
不稳,
停车,
车检,
检查,
后,
再起,
起动,
时,
起动,
困难,
滑,
油箱,
上,
连接,
箱,
盖,
箱体,
之间,
卡箍,
组件,
中,
角,
片,
脱焊,
滑,
油箱,
箱,
盖,
组件,
接头,
外螺纹,
螺纹,
溢,
扣,
滑,
油箱,
导管,
组件,
外套,
螺母,
内螺纹,
螺纹,
受损,
燃油,
燃油泵,
油泵,
出口,
嘴,
燃油,
胶管,
连接,
连接处,
卡箍,
共,
2,
溢,
扣,
滑,
油箱,
连接,
卡箍,
溢,
扣,
燃油,
燃油泵,
油泵,
出口,
嘴,
燃油,
胶管,
连接,
连接处,
卡箍,
溢,
扣,
放油,
开关,
打开,
后,
关闭,
飞机,
通电,
电检,
检查,
供油,
低压,
压压,
压力,
开关,
信号,
报警,
燃油,
燃油泵,
油泵,
接线,
接线柱,
上,
连接,
接电,
电缆,
后,
相互,
干涉,
燃油,
燃油泵,
油泵,
输出,
端,
管路,
路卡,
卡箍,
上,
螺钉,
燃油,
燃油泵,
油泵,
接线,
接线柱,
干涉,
安装,
电缆,
飞行,
行前,
发现,
滑,
油箱,
口盖,
内部,
裂纹,
发动,
发动机,
动机,
开车,
车检,
检查,
时,
排气,
气温,
温度,
温度传感器,
传感,
传感器,
感器,
数值,
测温,
测温仪,
数值,
不符,
全机,
通电,
过程,
中,
惯,
导报,
一级,
故障,
外场,
试验,
中,
15,
分钟,
后,
DGPS,
信号,
消失,
GPS,
信号,
消失,
高度,
高度表,
装机,
机时,
发现,
安装,
孔,
错位,
使,
高度,
高度表,
安装,
摇晃,
无线,
无线电,
高度,
高度表,
时,
内部,
有声,
声响,
装,
前,
校验,
过程,
中,
启动,
启动时,
时间,
超过,
300,
秒,
启动,
自检,
故障,
装,
前,
校验,
时,
启动,
几分,
几分钟,
分钟,
后,
有异,
响,
自检,
输出,
A,
B,
C,
三个,
组件,
航向,
俯仰,
横滚,
九个,
通道,
均,
无,
信号,
输出,
联,
试过,
过程,
中,
飞机,
加,
电,
速率,
陀螺,
静态,
A,
通道,
道数,
数值,
偏大,
动态,
检查,
查过,
过程,
中,
发现,
通道,
3,
号,
横滚,
1,
2,
号,
横滚,
输出,
联,
试过,
过程,
中,
飞机,
加,
电,
后,
速率,
陀螺,
组件,
静态,
A,
通道,
道数,
数值,
偏大,
飞机,
飞行,
过程,
中速,
速率,
陀螺,
报,
安装,
装过,
过程,
中,
总,
静压,
受,
感器,
P,
端,
连接,
接管,
管有,
微微,
晃动,
检,
模式,
下,
左,
升降,
升降舵,
切换,
备,
通道,
工作,
时,
余度,
2,
报,
DSP,
故障,
模型,
故障,
节,
风门,
舵机,
余度,
1,
时,
全机,
舵机,
报,
1,
次,
故障,
飞行,
过程,
中,
右,
副翼,
卡死,
卡死,
死角,
角度,
3,
度,
半左右,
滑跑,
前,
地面,
通电,
电联,
试,
时,
发现,
右,
襟翼,
副,
襟翼,
两个,
舵机,
有异,
响,
舵,
面,
轻微,
震颤,
断开,
舵,
面,
拉杆,
后,
舵机,
异,
响,
依旧,
接收,
天线,
工作,
致使,
差分,
加,
电,
机身,
左,
机翼,
前,
梁,
对接,
处,
螺栓,
太短,
螺栓,
尾部,
端面,
未,
露出,
平尾,
垂直,
尾翼,
翼翼,
翼面,
面上,
6,
舵机,
口盖,
螺栓,
安装,
装错,
错误,
机身,
尾,
撑,
对接,
处,
连接,
螺栓,
头部,
机身,
蒙皮,
处,
抽,
钉,
尾部,
相互,
干涉,
安装,
困难,
左,
底,
罩,
上,
用于,
安装,
总,
温,
传感,
传感器,
感器,
托板,
螺母,
规格,
图纸,
不符,
机头,
头罩,
三通,
支架,
架上,
上托,
托板,
螺母,
规格,
图纸,
不符,
GPS,
GLONASS,
天线,
电,
搭,
铁,
安装,
图纸,
不符,
六,
框,
腹板,
缺,
固定,
电,
搭,
铁,
托板,
螺母,
电,
搭,
铁,
中,
后,
机身,
蒙皮,
未,
铆接,
固定,
副翼,
舵机,
搭,
铁,
未,
安装,
襟翼,
搭,
铁,
规格,
图纸,
不符,
1,
2,
框,
间,
右,
纵梁,
梁上,
上缘,
条,
处,
缺少,
固定,
平台,
驱动,
单元,
雷达,
小,
信号,
单元,
电,
搭,
铁,
托板,
螺母,
9,
框,
后,
燃油,
设备,
维护,
口盖,
上,
螺钉,
机体,
托板,
螺母,
粘,
死,
拆卸,
垂直,
安定,
面上,
连接,
磁力,
磁力计,
搭,
铁,
托板,
螺母,
规格,
错误,
前机,
机身,
1,
框,
后,
左侧,
地板,
上,
安装,
滤波,
电容,
盒,
4,
托板,
螺母,
孔,
位,
间距,
图纸,
不符,
机头,
头罩,
搭,
铁片,
未,
开,
孔,
10,
框,
腹板,
上,
滑,
油箱,
安装,
座,
上,
粘接,
减震,
胶垫,
左,
右,
机翼,
4,
号,
肋,
后段,
缺,
3,
襟翼,
支架,
安装,
托板,
螺母,
左,
右,
机翼,
8,
号,
肋,
后段,
缺,
3,
副翼,
支架,
安装,
托板,
螺母,
总,
温,
传感,
传感器,
感器,
安装,
装有,
1,
托板,
螺母,
规格,
错误,
差分,
GPS,
卡,
套,
尺寸,
加工,
偏差,
太大,
卫,
通,
功放,
搭,
铁,
安装,
托板,
螺母,
安装,
方向,
错误,
通风,
盒,
搭,
铁,
安装,
托板,
螺母,
规格,
错误,
舵机,
控制,
盒,
安装,
螺钉,
长度,
速率,
陀螺,
安装,
螺钉,
长度,
通风,
盒,
搭,
铁线,
安装,
螺钉,
长度,
舵机,
控制,
盒,
安装,
螺钉,
长度,
速率,
陀螺,
安装,
螺钉,
长度,
通风,
盒,
搭,
铁线,
安装,
螺钉,
长度,
机翼,
翼尖,
安装,
螺钉,
规格,
错误,
燃油,
设备,
维护,
口盖,
螺钉,
十字,
槽,
损坏,
水平,
平安,
安定,
面,
后墙,
处,
上,
蒙皮,
复合,
复合材料,
材料,
劈裂,
输油,
输油泵,
油泵,
单向,
单向阀,
支架,
安装,
位置,
倾斜,
单向,
单向阀,
固定,
架,
机,
平尾,
安定,
面,
后墙,
墙上,
4,
舵机,
安装,
孔,
位,
均,
程度,
制造,
偏离,
导致,
舵机,
安装,
困难,
温控,
开关,
支架,
加工,
错误,
平尾,
安定,
面,
后墙,
墙上,
4,
舵机,
安装,
孔,
位,
均,
程度,
制造,
偏离,
导致,
舵机,
安装,
困难,
左,
右,
机翼,
机身,
对接,
处,
机翼,
端,
缺,
2,
缺,
固定,
托板,
螺母,
升降,
升降舵,
舵机,
维护,
口盖,
复合,
复合材料,
材料,
分层,
平台,
惯,
导,
托架,
通风,
盒,
管道,
发生,
干涉,
托架,
中,
两个,
通孔,
通风,
盒,
通风,
通风管,
风管,
同轴,
导致,
惯,
导,
托架,
安装,
控制,
控制器,
安装,
螺钉,
长度,
4,
框,
中腹,
腹板,
上,
未,
开,
测控,
控系统,
系统,
电源,
电源开关,
开关,
孔,
KU,
天线,
底座,
垫块,
间,
有间,
间隙,
空速,
加温,
开关,
插销,
孔,
开,
偏,
左,
右,
尾,
撑,
管下,
下部,
高度,
高度表,
天线,
安装,
处,
电缆,
过孔,
无,
橡胶,
橡胶垫,
胶垫,
空速,
加温,
开关,
插销,
孔,
未,
开,
机翼,
上,
电缆,
套管,
固定,
卡箍,
已,
脱落,
左,
襟翼,
拉杆,
端头,
拧,
入,
深度,
发动,
发动机,
发动机短,
动机,
短舱,
下,
罩,
安装,
孔,
对齐,
上,
罩,
连接,
短舱,
上,
罩,
组件,
下,
罩,
组件,
安装,
后,
后边,
边缘,
螺旋,
螺旋桨,
桨叶,
表面,
干涉,
起落,
起落架,
落架,
收放,
试验,
过程,
中,
收起,
时,
放下,
时,
右,
起落,
起落架,
落架,
滞后,
左,
起落,
起落架,
落架,
前,
起落,
起落架,
落架,
起落,
起落架,
落架,
收放,
试验,
过程,
中,
收起,
时,
放下,
时,
右,
起落,
起落架,
落架,
滞后,
左,
起落,
起落架,
落架,
前,
起落,
起落架,
落架,
起落,
起落架,
落架,
收放,
试验,
过程,
中,
收起,
时,
放下,
时,
右,
起落,
起落架,
落架,
滞后,
左,
起落,
起落架,
落架,
前,
起落,
起落架,
落架,
起落,
起落架,
落架,
缓冲,
支柱,
外,
筒,
下部,
均,
程度,
漏油,
现象,
起落,
起落架,
落架,
缓冲,
支柱,
外,
筒,
下部,
均,
程度,
漏油,
现象,
前,
起落,
起落架,
落架,
减,
摆,
器,
阻尼,
减小,
试飞,
飞过,
过程,
中发,
发现,
右,
起落,
起落架,
落架,
收起,
锁死,
飞行,
后,
检查,
发现,
右,
起落,
起落架,
落架,
舱门,
拉杆,
接头,
断裂,
左,
主,
起落,
起落架,
落架,
作,
动,
筒,
收放,
放过,
过程,
中出,
渗,
油,
飞行,
行前,
做,
机务,
检查,
时,
发现,
滑,
油箱,
口盖,
内部,
裂纹,
飞行,
后,
检查,
发现,
右,
起落,
起落架,
落架,
缓冲,
支柱,
内,
筒,
上部,
刮油,
环,
脱离,
主控,
主控制,
控制,
盒,
随机,
随机振动,
振动,
航向,
测试,
试过,
过程,
中,
主控,
主控制,
控制,
盒,
测试,
测试仪,
发出,
发电,
发电机,
电机,
网,
2,
指令,
后,
主控,
主控制,
控制,
盒,
无相,
输出,
主控,
主控制,
控制,
盒,
随机,
随机振动,
振动,
前,
测试,
发现,
输油,
输油泵,
油泵,
2,
故障,
主控,
主控制,
控制,
盒,
ESS,
试验,
时,
温度,
循环,
前,
垂直,
方向,
振动,
后,
蓄电,
蓄电池,
电池,
网,
指令,
撤除,
后,
蓄电,
蓄电池,
电池,
网状,
状态,
地面,
拷机,
实验,
过程,
中,
操作,
不当,
主控,
主控制,
控制,
盒,
插头,
19,
针,
打火,
断,
损,
检,
过程,
中,
飞机,
机上,
电,
打开,
惯,
导,
开关,
后,
全机,
机电,
电流,
较正,
正常值,
常值,
偏,
高,
地面,
检查,
中发,
发现,
发电,
发电机,
电机,
负载,
输出,
出电,
电压,
装,
前,
检验,
试验,
中,
测试,
相比,
偏低,
空载,
电压,
波动,
大,
负载,
电压,
偏低,
发电,
发电机,
电机,
控制,
控制器,
日常,
通电,
电检,
检查,
查过,
过程,
中,
发生,
电流,
信号,
偏低,
现象,
发动,
发动机,
动机,
开车,
后发,
发现,
主,
电源,
电压,
波动,
大,
ESS,
垂直,
垂直轴,
轴向,
振动,
试验,
后发,
发现,
，“,
燃油,
燃油泵,
油泵,
1,
输出,
异常,
燃油,
低压,
信号,
燃油,
燃油泵,
油泵,
1,
电源,
切断,
ESS,
垂直,
垂直轴,
轴向,
振动,
试验,
后发,
发现,
飞,
控,
发出,
发动,
发动机,
动机,
停车,
1,
指令,
导致,
发动,
发动机,
动机,
停车,
1,
发动,
发动机,
动机,
启动,
动作,
飞,
控,
发出,
发动,
发动机,
动机,
启动,
指令,
导致,
发动,
发动机,
动机,
停车,
1,
发动,
发动机,
动机,
启动,
动作,
ESS,
垂直,
垂直轴,
轴向,
振动,
试验,
后发,
发现,
，“,
燃油,
燃油泵,
油泵,
2,
输出,
异常,
主控,
主控制,
控制,
盒,
加,
电,
未,
发出,
双,
燃油,
燃油泵,
油泵,
指令,
燃油,
燃油泵,
油泵,
2,
控,
指令,
时,
燃油,
燃油泵,
油泵,
2,
即有,
输出,
联,
试过,
过程,
中,
视距,
链路,
天线,
1,
时,
上下行,
下行,
工作,
切换,
换到,
天线,
2,
时,
下行,
行数,
数据,
接收,
AGC,
0,
1V,
联,
试,
时,
发现,
机载,
视距,
收发,
组合,
密码,
状态,
下,
保密,
机,
报警,
视距,
链路,
不通,
拷机,
过程,
中,
机载,
视距,
收发,
组合,
合出,
故障,
C,
波段,
遥控,
锁定,
收发,
组合,
发,
频,
综,
状态,
故障,
间,
反复,
切换,
导致,
下行,
链路,
锁定,
联,
试过,
过程,
中,
卫,
通,
机载,
收发,
组合,
保密,
机,
模块,
密钥,
注入,
机场,
联,
试,
时,
发现,
机载,
Ku,
天线,
失锁,
地面,
联,
试过,
过程,
中,
惯,
导,
准,
航,
后,
锁定,
卫星,
汇流,
条,
断电,
上,
电,
后,
工作,
卫,
通,
密码,
传输,
下,
不通,
明码,
传输,
下,
卫,
通,
密码,
传输,
下,
不通,
明码,
传输,
下,
联,
试,
中,
卫,
通,
下行,
反向,
链路,
锁定,
不稳,
起飞,
起飞前,
状态,
检查,
卫,
通,
链路,
设备,
状态,
显示,
异常,
联,
试过,
过程,
中,
机载,
Ku,
卫,
通天,
天线,
跟踪,
设备,
加,
电,
后,
天线,
方位,
轴,
不受,
受控,
控制,
地面,
联,
试过,
过程,
中发,
发现,
机载,
卫,
通,
Ku,
天线,
俯仰,
45,
度,
水平,
190,
度,
处,
不停,
抖动,
锁定,
卫星,
机载,
卫,
通天,
天线,
两次,
机载,
卫,
通天,
天线,
显示,
锁定,
卫星,
现象,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
发电,
发电机,
电机,
连接,
轴套,
发动,
发动机,
动机,
支架,
间隙,
未,
装机,
图纸,
顺利,
安装,
耳,
片,
装机,
机时,
发现,
发动,
发动机,
动机,
供油,
胶管,
常安,
安装,
装机,
机时,
发现,
发动,
发动机,
动机,
供油,
胶管,
常安,
安装,
装机,
机时,
发现,
发动,
发动机,
动机,
供油,
胶管,
常安,
安装,
装机,
机时,
发现,
发动,
发动机,
动机,
供油,
胶管,
常安,
安装,
装机,
机时,
发现,
发动,
发动机,
动机,
供油,
胶管,
常安,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
短舱,
下,
罩,
密封,
密封条,
封条,
安装,
装机,
过程,
中,
发电,
发电机,
电机,
连接,
轴套,
联轴器,
同轴,
度,
不合,
合格,
装机,
过程,
中发,
发现,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
装机,
装机,
过程,
中发,
发现,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
装机,
装机,
过程,
中发,
发现,
空气,
空气冷却,
气冷,
冷却,
风罩,
未,
开,
孔,
装机,
发动,
发动机,
发动机短,
动机,
短舱,
上,
罩,
外部,
撕裂,
散热,
散热器,
支架,
滑,
油,
散热,
散热器,
端的,
两个,
横梁,
间距,
尺寸,
图纸,
不符,
导致,
滑,
油,
散热,
散热器,
安装,
装到,
到位,
散热,
散热器,
支架,
滑,
油,
散热,
散热器,
端的,
两个,
横梁,
间距,
尺寸,
图纸,
不符,
导致,
滑,
油,
散热,
散热器,
安装,
装到,
到位,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
冷却,
风罩,
均,
发动,
发动机,
动机,
散热,
散热片,
覆盖,
冷却,
风罩,
下端,
缺少,
包裹,
翻,
导致,
发动,
发动机,
动机,
空中,
飞行,
过程,
中散,
散热,
效果,
影响,
胶管,
安装,
空气,
空气冷却,
气冷,
冷却,
风道,
滑,
油,
恒温,
活门,
支架,
干涉,
空气,
空气冷却,
气冷,
冷却,
风道,
滑,
油,
恒温,
活门,
支架,
干涉,
发动,
发动机,
动机,
地面,
开车,
过程,
中,
滑,
油温,
温度,
76,
时,
滑,
油压,
压力,
异常,
波动,
换油,
保养,
时,
放油,
过程,
过程中将,
中将,
滑,
油箱,
箱底,
底部,
放油,
油阀,
阀门,
顶,
开,
滑,
油,
缓慢,
滴出,
流动,
缓慢,
发动,
发动机,
发动机短,
动机,
短舱,
下,
罩,
板,
短舱,
下,
罩,
连接,
连接处,
开胶,
飞机,
做,
油量,
标定,
定时,
调,
零位,
满,
位,
油量,
时,
检测,
检测车,
显示,
剩余,
油量,
无,
变化,
无,
变化,
飞机,
做,
油量,
标定,
定时,
燃油,
供油,
系统,
连接,
供油,
供油泵,
油泵,
处,
漏油,
机身,
油箱,
加油,
口盖,
内,
橡胶,
橡胶圈,
胶圈,
断裂,
外场,
发动,
发动机,
动机,
开车,
试验,
时,
检测,
检测车,
报,
燃油,
燃油泵,
油泵,
1,
常,
亮,
关闭,
油泵,
缸,
温,
升温,
快,
飞行,
行前,
检测,
过程,
中发,
发现,
螺旋,
螺旋桨,
根部,
划痕,
联,
试,
时,
发现,
电子,
燃油,
燃油泵,
油泵,
故障,
电子,
燃油,
燃油泵,
油泵,
温度,
度过,
高,
过油,
地面,
面试,
试车,
过程,
中,
桨,
距,
增减,
无,
响应,
飞机,
返回,
返回地面,
地面,
检查,
时,
发现,
三个,
桨叶,
防护,
贴,
脱落,
螺旋,
螺旋桨,
桨叶,
防护,
贴,
均,
程度,
开裂,
现象,
螺旋,
螺旋桨,
桨叶,
防护,
贴,
均,
程度,
开裂,
现象,
螺旋,
螺旋桨,
桨叶,
防护,
贴,
均,
程度,
开裂,
现象,
螺旋,
螺旋桨,
桨叶,
防护,
贴,
均,
程度,
开裂,
现象,
螺旋,
螺旋桨,
桨叶,
防护,
贴,
均,
程度,
开裂,
现象,
螺旋,
螺旋桨,
变,
距,
无,
响应,
变,
距,
失败,
发动,
发动机,
动机,
右侧,
起动,
油路,
弯管,
组件,
下部,
螺纹,
部位,
有损,
损坏,
弯管,
组件,
固定,
支架,
轻微,
扭曲,
汽化,
汽化器,
化器,
盖,
上,
固定,
支架,
螺钉,
螺帽,
滑,
丝,
空气,
盒,
排放,
余,
油管,
管路,
渗,
油,
冷却,
冷却液,
散热,
散热器,
漏,
液,
现象,
检,
模式,
下,
左,
升降,
升降舵,
切换,
备,
通道,
工作,
时,
余度,
2,
报,
dsp,
故障,
天线,
惯,
导,
相联,
天线,
底座,
X1,
口,
RS422,
7,
号,
针对,
短路,
飞机,
机上,
电,
左,
升降,
升降舵,
舵,
面,
抖动,
飞机,
机上,
电,
左,
升降,
升降舵,
舵,
面,
抖动,
飞机,
机上,
电,
飞,
控计算机,
计算,
计算机,
算机,
机上,
电,
自检,
果报,
CPU,
通道,
2,
故障,
飞机,
空中,
飞行,
