编号,序号,所属系统,产品名称,故障部位,深层现象,故障现象,故障分析,处理方式,处理方式标签2,处理方式标签,系统标签
R672,672,地面站、车辆,维修检测车,油机排气管,油机排气管与消音器脱开,油机排气管与消音器脱开，废气从脱开处排出,NA,重新固定排气口和消声器结合部分,3,维修(无需更换）,3
R673,673,地面站、车辆,维修检测车,备用电池,备用电池故障,备用电池电压明显降低,备用电池故障,更换故障件,2,更换故障件,3
R678,678,地面站、车辆,1#维修检测车,油机电源,油机电源松动,上电时电源电压低于正常值，调节电压调节旋钮，电压调不到正常值,油机电源松动,紧固油机电源,3,维修(无需更换）,3
R681,681,地面站、车辆,GPS差分地面站,DGPS接收天线,DGPS接收天线损坏,DGPS接收天线损坏，无法接收,NA,更换故障件,1,更换故障件,3
R682,682,地面站、车辆,GPS差分地面站,接收机面板电缆,差分站接收机面板电缆断掉,差分站接收机面板电缆断掉,NA,更换故障件,2,更换故障件,3
R683,683,地面站、车辆,GPS差分地面站,DGPS,DGPS故障,DGPS故障，工作不稳定,NA,更换故障件,1,更换故障件,3
R686,686,地面站、车辆,卫通天线车,天线驱动单元变频器,天线撤收时，故障消失，天线可以正常转动,设备展开的过程中，天线的俯仰不能转动。后接上手提驱动箱后，天线方位、俯仰转动正常,天线驱动单元的变频器受到现场220V交流电出现瞬间的电压波动的影响，造成Lv自保护，引起天线俯仰无法转动,非故障,4,无故障,3
R693,693,地面站、车辆,视频处理2席位,鼠标,鼠标损坏,情报处理站视频处理2席位视频处理主机启动后死机无法进行键盘鼠标操作，经多次断电重启后仍然不能恢复正常,视频处理主机需要连接鼠标键盘共享器，键盘共享器启动时，要对键盘鼠标进行自检，如果鼠标或键盘工作不正常，则共享器无法正常工作,更换故障件,2,更换故障件,3
R695,695,动力装置系统,发动机,短舱下罩,未进行发动机预装配,发动机安装到位后，发动机短舱下罩安装孔无法全部对齐，且与发动机短舱上罩无法连接,发动机上、下罩装配不合理,返修下罩，重新钻孔,1,维修(无需更换）,4
R696,696,动力装置系统,发动机,短舱上罩；短舱下罩,预装配时未修配,短舱上罩组件和下罩组件安装后，其后边缘与螺旋桨桨叶表面干涉,预装配时未修配,修锉短舱上、下罩后缘,3,维修(无需更换）,4
R697,697,动力装置系统,发动机,发动机,飞机油封后存放时间较长，滑油量充足，滑油通道未堵塞,发动机试车过程中滑油压力波动范围超过限制值,飞机油封后，存放时间较长，使得滑油中吸入大量水分，发动机恢复试车时，滑油在发动机中循环并加热，水分与滑油混合搅拌将产生大量气泡，使得滑油压力产生较大波动,使滑油温度上升到100℃以上，排出滑油中的水分后，故障排除,3,维修(无需更换）,4
R698,698,动力装置系统,发动机,液压挺柱,1号缸气门与活塞发生碰撞，气门杆和导管质量之间发生单边局部摩擦烧蚀卡滞，推杆弯曲，液压挺住内部滑油泄漏,试车过程中，B点火停止工作时，转速下降过多，发动机状态不稳，停车检查后再起动时起动困难,液压挺柱故障导致故障,更换气缸缸头，更换气门顶杆，更换液压挺柱,1,更换故障件,4
R699,699,动力装置系统,滑油箱,箱盖卡箍组件,制造缺陷,滑油箱上连接箱盖与箱体之间的卡箍组件中的角片脱焊,制造缺陷,将脱焊部位打磨、补焊,3,维修(无需更换）,4
R700,700,动力装置系统,滑油箱,箱盖组件,制造缺陷,滑油箱箱盖组件接头外螺纹溢扣,制造缺陷,更换故障件,2,更换故障件,4
R700,700,动力装置系统,滑油箱,导管组件,制造缺陷,滑油箱导管组件外套螺母的内螺纹受损,制造缺陷,更换故障件,2,更换故障件,4
R701,701,动力装置系统,滑油箱,出口管嘴连接处卡箍,制造缺陷,燃油泵出口管嘴与燃油胶管连接处卡箍共2个溢扣,制造缺陷,更换故障件,2,更换故障件,4
R702,702,动力装置系统,滑油箱,滑油箱连接卡箍,制造缺陷,滑油箱连接卡箍溢扣,制造缺陷,更换故障件,2,更换故障件,4
R702,702,动力装置系统,滑油箱,出口管嘴连接处卡箍,制造缺陷,燃油泵出口管嘴与燃油胶管连接处卡箍溢扣,制造缺陷,更换故障件,2,更换故障件,4
R705,705,动力装置系统,燃油放油开关,放油开关,放油开关有制造缺陷,放油开关打开后无法关闭,放油开关有制造缺陷,更换故障件,2,更换故障件,4
R706,706,动力装置系统,燃油供油系统,单向活门,断电经检查发现燃油供油系统的2个单向活门方向安装错误,飞机通电检查，出现供油低压压力开关信号报警,单向活门安装错误,重新安装,3,维修(无需更换）,4
R707,707,动力装置系统,燃油泵,接线柱,未按工艺要求正确安装燃油泵,燃油泵接线柱上连接电缆后，相互干涉,未按工艺要求正确安装燃油泵,重新安装,3,维修(无需更换）,4
R708,708,动力装置系统,燃油泵,接线柱,未按工艺要求正确安装燃油泵,燃油泵输出端管路卡箍上的的螺钉与燃油泵的接线柱干涉，无法安装电缆,未按工艺要求正确安装燃油泵,重新安装,3,维修(无需更换）,4
R709,709,动力装置系统,滑油箱,滑油箱口盖,滑油箱口盖内部有裂纹,飞行前发现滑油箱口盖内部有裂纹,NA,更换故障件,2,更换故障件,4
R710,710,动力装置系统,发动机,排气温度传感器,排气温度传感器不锈钢防护套根部与橡胶热缩套连接部分有烧焦现象,发动机开车检查时，排气温度传感器数值与测温仪数值不符,排气温度传感器装机前校验温度过高导致绝缘层融化，导线在钢套中短路,更换故障件,1,更换故障件,4
R713,713,导航飞控系统,惯导,A12板,A12板存在隐患,在全机通电过程中，惯导报一级故障,NA,更换故障件,2,更换故障件,5
R715,715,导航飞控系统,GPS接收机,DGPS,设备重新通电，DGPS恢复正常，故障未复现,外场试验中，15分钟后DGPS信号消失，GPS信号也消失,NA,非故障,4,无故障,5
R716,716,导航飞控系统,无线电高度表,安装孔,零件加工问题,高度表在装机时，发现安装孔错位，使高度表无法安装,零件加工问题导致安装孔错位,对安装孔扩孔,3,维修(无需更换）,5
R717,717,导航飞控系统,无线电高度表,螺母,无线电高度表内部有螺母松脱,摇晃无线电高度表时，内部有声响,无线电高度表内部有螺母松脱,紧固螺母,3,维修(无需更换）,5
R718,718,导航飞控系统,垂直陀螺,垂直陀螺,运输中外包装有破损,装前校验过程中，启动时间超过300秒，启动自检故障,运输中外壳损坏导致垂直陀螺故障,更换故障件,1,更换故障件,5
R719,719,导航飞控系统,速率陀螺组件,自检线圈,A通道俯仰陀螺自检线圈断开,装前校验时，正常启动几分钟后有异响，自检输出正常，A、B、C三个组件的航向、俯仰、横滚九个通道均无信号输出,自检线圈断裂导致速率陀螺组件A通道俯仰无自检输出,更换故障件,2,更换故障件,5
R720,720,导航飞控系统,速率陀螺组件,速率陀螺组件,全温监测，故障未复现,联试过程中，飞机加电速率陀螺静态A通道数值偏大,NA,非故障,4,无故障,5
R721,721,导航飞控系统,速率陀螺组件,C通道倾斜陀螺,C通道倾斜无速率输出信号，故障复现，产品对外接口插座上的插针无松动，缩针等异常情况，产品底座电气连线无异常，电路板工作正常，C通道倾斜陀螺电机轴承保持器掉渣，导致电机堵转,动态检查过程中，发现通道3号的横滚，与1、2号的横滚输出不同,C通道倾斜陀螺电机轴承保持器掉渣，渣子进入轴承滚道，使轴承摩擦力距增大，从而造成陀螺电机堵转，无速率输出,更换故障件,2,更换故障件,5
R722,722,导航飞控系统,速率陀螺组件,A通道解调及自检测电路板俯仰通道,A通道解调及自检测输出板存在故障，电路板俯仰通道梯度点位计管脚存在虚焊现象,联试过程中，飞机加电后，速率陀螺组件静态A通道数值偏大,电路板俯仰通道梯度点位计管脚存在虚焊导致速率陀螺组件静态A通道数值偏大,重新焊接故障点,3,维修(无需更换）,5
R723,723,导航飞控系统,速率陀螺,B通道俯仰陀螺,地面检查发现1、3号位输出正常，2号位输出为零,飞机飞行过程中速率陀螺报故,判定为B通道俯仰陀螺故障。B通道陀螺电机保持器存在掉渣进入轴承滚道，从而导致轴承失效，造成陀螺电机堵转,更换故障件,2,更换故障件,5
R724,724,导航飞控系统,总静压受感器,总静压受感器,受感器接嘴与导管轻微晃动，接嘴与导管之间无相对晃动,在安装过程中，总静压受感器的P端连接管有微微的晃动,NA,非故障,4,无故障,5
R725,725,导航飞控系统,左升降舵,F5保险丝,测试发现F5保险丝开路，更换F5保险丝时发现已断裂,在地检模式下，左升降舵切换至备通道工作时，余度2报DSP故障和模型故障,F5保险丝断裂导致故障,更换故障件,2,更换故障件,5
R726,726,导航飞控系统,节风门舵机,控制盒,蓄电池并网测试,节风门舵机余度1时，全机舵机报1次故障,上电后进行蓄电池并网测试时，会先切断28V电源，再并蓄电池，会有瞬态的28V掉电，若掉电时间大于控制盒电源监控门限，控制盒就会报出欠压故障,非故障,4,无故障,5
R727,727,导航飞控系统,右副翼舵机,电机支撑轴承,电机支撑轴承润滑不良,飞行过程中右副翼卡死，卡死角度3度半左右,电机支撑轴承由于润滑不良导致保持架和钢球之间发生干摩擦，进而造成卡滞,更换故障件，补充润滑油,2,更换故障件,5
R728,728,导航飞控系统,右副翼/襟副翼/扰流片控制盒,解调芯片,通电测试，右副翼工作正常，舵机输出轴无震颤，空载位置精度满足要求，右襟副翼舵机噪声偏大，舵机输出轴有轻微震颤，空载位置精度满足指标要求，解调芯片输出激磁信号噪声偏大,滑跑前地面通电联试时发现右襟翼、副襟翼两个舵机有异响，舵面轻微震颤，断开舵面拉杆后，舵机异响依旧存在,该路解调芯片输出激磁信号噪声偏大，从而引起传感器位置输出信号噪声较大，造成输出轴有轻微震颤,更换故障件,2,更换故障件,5
R729,729,导航飞控系统,差分站接收天线,接收天线,天线内部液溴挥发或变质,接收天线无法正常工作致使差分无法正常加电,天线内部液溴挥发或变质导致,更换故障件,2,更换故障件,5
R731,731,飞行器平台,飞行器平台,左前翼前梁螺栓,机身与左机翼前梁对接处的螺栓太短,机身与左机翼前梁对接处的螺栓太短，螺栓尾部端面未露出,未按图纸正确加工,更换故障件，并正确安装,2,更换故障件,6
R732,732,飞行器平台,飞行器平台,翼面螺栓,平尾和垂直尾翼翼面上的6个舵机口盖螺栓安装错误,平尾和垂直尾翼翼面上的6个舵机口盖螺栓安装错误,未按图纸正确安装,更换故障件，并正确安装,2,更换故障件,6
R733,733,飞行器平台,飞行器平台,机身与尾撑管对接处螺栓,机身与尾撑管对接处的连接螺栓头部与机身蒙皮处的抽钉尾部相互干涉,机身与尾撑管对接处的连接螺栓头部与机身蒙皮处的抽钉尾部相互干涉，安装困难,未按图纸正确加工,更换故障件，并正确安装,2,更换故障件,6
R735,735,飞行器平台,飞行器平台,托板螺母,左底罩上用于安装总温传感器的托板螺母规格与图纸不符,左底罩上用于安装总温传感器的托板螺母规格与图纸不符,未按图纸正确加工,更换故障件，并正确安装,2,更换故障件,6
R736,736,飞行器平台,飞行器平台,托板螺母,机头罩三通支架上托板螺母规格与图纸不符,机头罩三通支架上托板螺母规格与图纸不符,未按图纸正确加工,更换故障件，并正确安装,2,更换故障件,6
R738,738,飞行器平台,飞行器平台,电搭铁,GPS/GLONASS天线的电搭铁安装与图纸不符，六框腹板缺固定电搭铁的托板螺母，电搭铁与中后机身中间蒙皮的未铆接固定,GPS/GLONASS天线的电搭铁安装与图纸不符，六框腹板缺固定电搭铁的托板螺母，电搭铁与中后机身中间蒙皮的未铆接固定,未按图纸正确加工或装配,按图纸要求正确安装,3,维修(无需更换）,6
R739,739,飞行器平台,飞行器平台,搭铁,左右副翼舵机搭铁未安装，左右襟翼搭铁规格与图纸不符,左右副翼舵机搭铁未安装，左右襟翼搭铁规格与图纸不符,未按图纸正确加工或装配,按图纸要求正确安装,2,维修(无需更换）,6
R740,740,飞行器平台,飞行器平台,托板螺母,1～2框间右纵梁上缘条处缺少固定平台驱动单元和雷达小信号单元电搭铁的托板螺母,1～2框间右纵梁上缘条处缺少固定平台驱动单元和雷达小信号单元电搭铁的托板螺母,未按图纸正确加工或装配,按图纸要求正确安装,2,维修(无需更换）,6
R741,741,飞行器平台,飞行器平台,燃油口盖螺钉,9框后燃油设备维护口盖上的螺钉与机体托板螺母粘死无法拆卸,9框后燃油设备维护口盖上的螺钉与机体托板螺母粘死无法拆卸,喷漆时燃油口盖螺钉与托板螺母粘死,更换故障件,2,更换故障件,6
R742,742,飞行器平台,飞行器平台,托板螺母,左右垂直安定面上连接磁力计搭铁的托板螺母规格错误,左右垂直安定面上连接磁力计搭铁的托板螺母规格错误,未按图纸正确加工或装配,按图纸要求正确安装,2,维修(无需更换）,6
R743,743,飞行器平台,飞行器平台,地板托板螺母孔,前机身1框后左侧地板上安装滤波电容盒的4个托板螺母孔位间距与图纸不符,前机身1框后左侧地板上安装滤波电容盒的4个托板螺母孔位间距与图纸不符,未按图纸正确加工或装配,按图纸要求正确加工,1,维修(无需更换）,6
R744,744,飞行器平台,飞行器平台,机头罩搭铁片,机头罩搭铁片未开孔,机头罩搭铁片未开孔,未按图纸正确加工或装配,按图纸要求正确加工,1,维修(无需更换）,6
R746,746,飞行器平台,飞行器平台,滑油安装座减震胶垫,10框腹板上的滑油箱安装座上没有粘接减震胶垫,10框腹板上的滑油箱安装座上没有粘接减震胶垫,未按图纸正确加工或装配,按图纸要求正确安装,2,维修(无需更换）,6
R747,747,飞行器平台,飞行器平台,襟翼支架托板螺母,左、右机翼4号肋后段各缺3个襟翼支架安装托板螺母,左、右机翼4号肋后段各缺3个襟翼支架安装托板螺母,未按图纸正确加工或装配,按图纸要求正确安装,2,维修(无需更换）,6
R747,747,飞行器平台,飞行器平台,副翼支架托板螺母,左、右机翼8号肋后段各缺3个副翼支架安装托板螺母,左、右机翼8号肋后段各缺3个副翼支架安装托板螺母,未按图纸正确加工或装配,按图纸要求正确安装,2,维修(无需更换）,6
R747,747,飞行器平台,飞行器平台,总温传感器托板螺母,总温传感器安装有1个托板螺母规格错误,总温传感器安装有1个托板螺母规格错误,未按图纸正确加工或装配,更换故障件,3,更换故障件,6
R747,747,飞行器平台,飞行器平台,差分GPS卡套,差分GPS卡套尺寸加工偏差太大,差分GPS卡套尺寸加工偏差太大,未按图纸正确加工或装配,按图纸要求正确加工,1,维修(无需更换）,6
R747,747,飞行器平台,飞行器平台,卫通功放搭铁安装托板螺母,卫通功放搭铁安装托板螺母安装方向错误,卫通功放搭铁安装托板螺母安装方向错误,未按图纸正确加工或装配,按图纸要求正确安装,3,维修(无需更换）,6
R747,747,飞行器平台,飞行器平台,通风盒搭铁安装托板螺母,通风盒搭铁安装托板螺母规格错误,通风盒搭铁安装托板螺母规格错误,未按图纸正确加工或装配,更换故障件,2,更换故障件,6
R748,748,飞行器平台,飞行器平台,舵机控制盒安装螺钉,舵机控制盒安装螺钉长度不够,舵机控制盒安装螺钉长度不够,制造偏离,更换故障件,2,更换故障件,6
R749,749,飞行器平台,飞行器平台,速率陀螺安装螺钉,速率陀螺安装螺钉长度不够,速率陀螺安装螺钉长度不够,制造偏离,更换故障件,2,更换故障件,6
R750,750,飞行器平台,飞行器平台,通风盒搭铁线安装螺钉,通风盒搭铁线安装螺钉长度不够,通风盒搭铁线安装螺钉长度不够,制造偏离,更换故障件,2,更换故障件,6
R751,751,飞行器平台,飞行器平台,舵机控制盒安装螺钉,舵机控制盒安装螺钉长度不够,舵机控制盒安装螺钉长度不够,制造偏离,更换故障件,2,更换故障件,6
R752,752,飞行器平台,飞行器平台,速率陀螺安装螺钉,速率陀螺安装螺钉长度不够,速率陀螺安装螺钉长度不够,制造偏离,更换故障件,2,更换故障件,6
R753,753,飞行器平台,飞行器平台,通风盒搭铁线安装螺钉,通风盒搭铁线安装螺钉长度不够,通风盒搭铁线安装螺钉长度不够,制造偏离,更换故障件,2,更换故障件,6
R754,754,飞行器平台,飞行器平台,机翼尖安装螺钉,机翼尖安装螺钉规格错误,机翼尖安装螺钉规格错误,螺钉配套错误,更换故障件,2,更换故障件,6
R755,755,飞行器平台,飞行器平台,燃油口盖螺钉,燃油设备维护口盖螺钉十字槽损坏,燃油设备维护口盖螺钉十字槽损坏,螺钉连接后喷漆，使螺钉与口盖粘连，加之螺钉质量问题，导致螺钉损坏,更换故障件,2,更换故障件,6
R756,756,飞行器平台,飞行器平台,上蒙皮复合材料,水平安定面后墙处上蒙皮复合材料劈裂,水平安定面后墙处上蒙皮复合材料劈裂,制造缺陷,按图纸要求正确加工,2,维修(无需更换）,6
R757,757,飞行器平台,飞行器平台,输油泵单向阀支架,输油泵单向阀支架安装位置倾斜，其中一个单向阀无法固定,输油泵单向阀支架安装位置倾斜，其中一个单向阀无法固定,制造缺陷,按图纸要求正确安装,3,维修(无需更换）,6
R758,758,飞行器平台,飞行器平台,舵机安装孔位,架机平尾安定面后墙上4个舵机安装孔位均存在不同程度的制造偏离,架机平尾安定面后墙上4个舵机安装孔位均存在不同程度的制造偏离，导致舵机安装困难,制造偏离,按图纸要求正确加工,1,维修(无需更换）,6
R761,761,飞行器平台,飞行器平台,温控开关支架,温控开关支架加工错误,温控开关支架加工错误,制造偏离,按图纸要求正确加工,1,维修(无需更换）,6
R761,761,飞行器平台,飞行器平台,舵机安装孔位,平尾安定面后墙上4个舵机安装孔位均存在不同程度的制造偏离,平尾安定面后墙上4个舵机安装孔位均存在不同程度的制造偏离，导致舵机安装困难,制造偏离,按图纸要求正确加工,1,维修(无需更换）,6
R762,762,飞行器平台,飞行器平台,固定托板螺母,左、右机翼机身对接处机翼端各缺2个缺固定托板螺母,左、右机翼机身对接处机翼端各缺2个缺固定托板螺母,未按图纸要求加工,按图纸要求正确安装,2,维修(无需更换）,6
R763,763,飞行器平台,飞行器平台,升降舵机维护口盖复合材料,升降舵机维护口盖复合材料分层,升降舵机维护口盖复合材料分层,制造缺陷,按图纸要求正确加工,1,维修(无需更换）,6
R764,764,飞行器平台,平台机体,平台惯导托架通孔,平台惯导托架与通风盒管道发生干涉，托架中的两个通孔与通风盒的通风管不同轴,平台惯导托架与通风盒管道发生干涉，托架中的两个通孔与通风盒的通风管不同轴，导致惯导托架无法安装,制造错误,按图纸要求正确安装,3,维修(无需更换）,6
R764,764,飞行器平台,平台机体,控制器安装螺钉,机翼舵机控制器和尾翼舵机控制器安装处的结构增厚,控制器安装螺钉长度不足,机翼舵机控制器和尾翼舵机控制器安装处的结构增厚，导致原设计的设备安装螺钉长度不足,更改螺钉,2,维修(无需更换）,6
R764,764,飞行器平台,平台机体,测控系统电源开关孔,4框中腹板上未开测控系统电源开关孔,4框中腹板上未开测控系统电源开关孔,制造错误,按图纸要求正确加工,1,维修(无需更换）,6
R765,765,飞行器平台,平台机体,垫块,垫块变形,KU天线底座与垫块间有间隙,制造错误,提供可剥垫块用以调整KU天线水平,3,维修(无需更换）,6
R766,766,飞行器平台,平台机体,空速管加温开关插销孔,空速管加温开关插销孔开偏,空速管加温开关插销孔开偏,制造误差,按图纸要求正确加工,1,维修(无需更换）,6
R766,766,飞行器平台,平台机体,高度表天线电缆过孔橡胶垫,左、右尾撑管下部高度表天线安装处的电缆过孔无橡胶垫,左、右尾撑管下部高度表天线安装处的电缆过孔无橡胶垫,制造误差,按图纸要求正确安装,3,维修(无需更换）,6
R767,767,飞行器平台,平台机体,空速管加温开关插销孔,空速管加温开关插销孔未开,空速管加温开关插销孔未开,制造误差,按图纸要求正确加工,1,维修(无需更换）,6
R768,768,飞行器平台,平台机体,电缆套管固定卡箍,机翼上电缆套管固定卡箍已脱落,机翼上电缆套管固定卡箍已脱落,制造误差,按图纸要求正确安装,3,维修(无需更换）,6
R769,769,飞行器平台,飞行器平台,左襟翼拉杆,左襟翼拉杆端头的拧入深度不足,左襟翼拉杆端头的拧入深度不足,拉杆制造错误,更换故障件,2,更换故障件,6
R770,770,飞行器平台,发动机,短舱下罩,发动机短舱下罩安装孔无法全部对齐，且无法与上罩连接,发动机短舱下罩安装孔无法全部对齐，且无法与上罩连接,发动机短舱下罩制造问题,返修发动机短舱下罩,1,维修(无需更换）,6
R771,771,飞行器平台,发动机,短舱上罩组件；短舱下罩组件,短舱后边缘与螺旋桨桨叶表面干涉,短舱上罩组件和下罩组件安装后，其后边缘与螺旋桨桨叶表面干涉,预装配时未修配,修锉故障件,3,维修(无需更换）,6
R772,772,飞行器平台,起落架,液压系统,液压系统污染,起落架收放试验过程中，收起时正常，放下时右起落架严重滞后于左起落架和前起落架,液压系统污染，导致回油不畅通,清洗管路系统及成品，重新安装,3,维修(无需更换）,6
R772,772,飞行器平台,起落架,三位四通阀,三位四通阀工作不稳定,起落架收放试验过程中，收起时正常，放下时右起落架严重滞后于左起落架和前起落架,三位四通阀工作不稳定，导致起落架收放不正常,换故障件,2,更换故障件,6
R772,772,飞行器平台,起落架,地面液压车,地面液压车供电不稳定液压泵输出流量低,起落架收放试验过程中，收起时正常，放下时右起落架严重滞后于左起落架和前起落架,地面液压车供电不稳定液压泵输出流量低，导致起落架收放和应急放时间超时,更换地面液压车给液压电动泵、应急电动泵供电,1,更换故障件,6
R773,773,飞行器平台,起落架,缓冲支柱,装机交付的起落架时间较长,左右起落架缓冲支柱外筒下部均有不同程度漏油现象,密封试验后在外筒与衬筒组件涂的封胶不能完全起到长时间的密封效果，交付装机的起落架受时间积累、环境变化等影响，空腔内渗入的油层有渗出的可能,完善工艺，在密封试验后增加清洗工序，将外筒与衬筒组件密封腔内的油清洗，吹干,3,改进工艺,6
R774,774,飞行器平台,起落架,缓冲支柱,装机交付的起落架时间较长,左右起落架缓冲支柱外筒下部均有不同程度漏油现象,密封试验后在外筒与衬筒组件涂的封胶不能完全起到长时间的密封效果，交付装机的起落架受时间积累、环境变化等影响，空腔内渗入的油层有渗出的可能,完善工艺，在密封试验后增加清洗工序，将外筒与衬筒组件密封腔内的油清洗，吹干,3,改进工艺,6
R775,775,飞行器平台,起落架,减摆器,减摆器失效,前起落架减摆器阻尼减小,减摆器失效,更换故障件,2,更换故障件,6
R776,776,飞行器平台,起落架,舱门拉杆,拉杆舱门装配不当,试飞过程中发现右起落架无法收起锁死,舱门拉杆装配不当,重新调整舱门拉杆,3,维修(无需更换）,6
R777,777,飞行器平台,右起落架,舱门拉杆,舱门拉杆断裂,飞行后检查，发现右起落架舱门拉杆接头断裂。,舱门拉杆断裂,更换故障件,1,更换故障件,6
R779,779,飞行器平台,左主起落架,作动筒,密封件和易损件故障,左主起落架作动筒收放过程中出现渗油,密封件和易损件故障,更换密封件和易损件,2,维修(无需更换）,6
R780,780,飞行器平台,滑油箱,口盖,滑油箱口盖内部有裂纹,飞行前做机务检查时发现滑油箱口盖内部有裂纹,NA,更换故障件,2,更换故障件,6
R781,781,飞行器平台,右主起落架,缓冲支柱内筒刮油环,右起落架缓冲支柱内筒上部刮油环脱离,飞行后检查，发现右起落架缓冲支柱内筒上部刮油环脱离,为保证良好的刮油及防尘效果刮油环和下支撑环间需要一定的转配过盈量，同时刮油环与内筒间也存在一定的摩擦力。由于刮油环为橡胶制品，零件的偏差较大，同时装配因素的影响，导致刮油环与内筒之间的配合过紧，引起刮油环在使用中脱落，本次刮油环的脱落属于个别现象。由于刮油环只是起刮油和阻止灰尘进入的作用，缓冲器的密封作用是由内部的胶圈完成的，因此在发生刮油环脱落时对飞机的安全无影响，但脱落后需进行更换或修理。,更换故障件,2,更换故障件,6
R782,782,电器系统,主控制盒,K2继电器,驱动电路板上的K2继电器触点冷粘,主控制盒在随机振动（沿航向）测试过程中，主控制盒测试仪发出了“发电机并网2”指令后，主控制盒无相应输出,由主控制盒驱动电路板上的K2继电器触点冷粘连引起,发生冷粘连的继电器在后续使用过程中发生再次粘连的可能性很小，可暂不处理,4,无故障,1
R783,783,电器系统,主控制盒,K42继电器,对主控制盒测试仪上测试点的电压测量，确认输油泵2电源无输出，对电路板进行逐级检查，确认为驱动电路板K42继电器故障,对主控制盒进行随机振动前测试，发现输油泵2故障,由于继电器线圈漆包线在进行包扎操作时，引出线焊接点位置附近漆包线受挤压产生机械应力损伤，在后续使用过程中的环境、温度、电流等应力作用下，漆包线的损伤逐渐加剧，发生开路导致继电器失效,更换故障件,1,更换故障件,1
R784,784,电器系统,主控制盒,变换电路板上的蓄电池并网1控制继电器K,变换电路板上的蓄电池并网1控制继电器K3触点粘连,主控制盒在进行ESS试验时温度循环前的垂直方向振动后，蓄电池并网指令撤除后蓄电池仍旧保持并网状态,变换电路板上的蓄电池并网1控制继电器K3触点粘连失效引起的,更换故障件,2,更换故障件,1
R785,785,电器系统,主控制盒,插头接触针,在全机未断电的情况下卸拔插头,地面拷机实验过程中，由于操作不当，造成主控制盒插头的19针打火断损,带电插拔接插件造成器件受损,更换故障件,2,更换故障件,1
R787,787,电器系统,主控制盒,驱动电路板上继电器K34,驱动电路板上继电器K34常闭触电粘连,在地检过程中给飞机上电并打开惯导开关后，全机电流较正常值偏高,驱动电路板上的继电器K34常闭触电粘连导致惯导115V无法切换地面115V供电,更换继电器,2,更换故障件,1
R788,788,电器系统,发电机,控制器,多次测试故障无复现；发电机较长时间未运行，碳刷表面氧化,在地面检查中发现发电机负载输出电压与装前检验试验中测试结果相比偏低,因发电机较长时间未运行，碳刷表面氧化造成接触电阻偏高，使输出电压偏低,经一段时间磨合，产品输出电压恢复正常，非故障,4,无故障,1
R789,789,电器系统,发电机,控制器调压板组件,调压板组件故障,空载电压波动大，负载电压偏低,调压板组件故障,更换故障件,2,更换故障件,1
R791,791,电器系统,发电机,控制器AP1板级上的RP2电位计,AP1板级中的RP2电位计失效,发电机控制器在日常通电检查过程中突然发生电流信号偏低现象,控制器AP1板级中的RP2电位计失效,更换故障件,2,更换故障件,1
R793,793,电器系统,滤波电容盒,延时继电器,滤波电容盒内部延时继电器没有吸合，换滤波电容盒后故障消失,发动机开车后发现主电源电压波动大,由于滤波电容盒内部延时继电器没有吸合导致了滤波电容盒的滤波作用减弱，从而导致了主电容波动大,更换故障件,1,更换故障件,1
R794,794,电器系统,主控制盒,驱动电路板上K41继电器,驱动电路板上K41继电器常开触点粘连,在ESS垂直轴向振动试验后发现，“燃油泵1”输出异常，燃油低压信号无法将燃油泵1电源切断,驱动电路板上K41继电器常开触点粘连引起故障,更换故障件,2,更换故障件,1
R794,794,电器系统,主控制盒,FP01X插座,FP01X插座的“X50”和“X110”针的引出线相连,在ESS垂直轴向振动试验后发现，飞控发出“发动机停车1”指令导致“发动机停车1”和“发动机启动”同时动作，飞控发出“发动机启动”指令导致“发动机停车1”和“发动机启动”同时动作,由FP01X插座的“X50”和“X110”针的引出线相连而引起的,更换故障件,2,更换故障件,1
R795,795,电器系统,主控制盒,驱动电路板上K43继电器,驱动电路板上K43继电器常开触点粘连,在ESS垂直轴向振动试验后发现，“燃油泵2”输出异常，主控制盒加电未发出双燃油泵指令或燃油泵2地控指令时燃油泵2即有输出,驱动电路板上K43继电器常开触点粘连而引起,更换故障件,2,更换故障件,1
R797,797,测控系统,视距链路收发组合,TV/TM发射机电调衰减器,发射机电调衰减器管脚3和管脚7虚焊,在联试过程中，视距链路在天线1时，上下行可正常工作，切换到天线2时，没有下行数据，接收AGC为0.1V,发射机电调衰减器管脚3和管脚7虚焊导致该故障发生,对元器件重新补焊,3,维修(无需更换）,2
R798,798,测控系统,视距链路收发组合,同步及控制单元,同步及控制单元管脚虚焊,联试时发现，机载视距收发组合密码状态下，保密机报警，视距链路不通,同步及控制单元D12的管脚11虚焊和同步及控制单元D4的管脚183虚焊导致故障,对元器件重新补焊,3,维修(无需更换）,2
R799,799,测控系统,视距收发组合,主中放单元电路中微波单片发达器,主中放单元电路中微波单片发达器失效,拷机过程中，机载视距收发组合出现故障，C波段遥控无法锁定,主中放单元电路中微波单片发达器失效导致故障,更换故障件,2,更换故障件,2
R800,800,测控系统,视距收发组合,AP2中的压控振荡器,AP2中压控振荡器与AP1的焊盘相连的焊针虚焊,收发组合的“发频综状态”在“正常”与“故障”间反复切换，导致下行链路无法锁定,AP2中压控振荡器与AP1的焊盘相连的焊针虚焊导致故障,对元器件重新补焊,3,维修(无需更换）,2
